rank,US_word,US_count,US_z,NON_US_word,NON_US_count,NON_US_z
1,google,60,3.7316,london,24,-4.202
2,business,37,2.85,listening,13,-3.1516
3,travel,47,2.8218,interest,19,-3.0472
4,culture,30,2.539,favourite,11,-2.9431
5,seeking,34,2.2441,positive,17,-2.8734
6,children,69,2.2288,reading,29,-2.5669
7,favorite,31,2.205,occasionally,12,-2.4822
8,partnership,23,2.1845,points,11,-2.4772
9,workspace,29,2.1812,friends,46,-2.3067
10,profile,28,2.1669,particular,10,-2.2656
11,islands,17,2.1112,random,9,-2.2605
12,outdoors,17,2.1112,hopefully,9,-2.2605
13,preference,19,2.0608,matters,8,-2.2574
14,facebook,14,2.0257,particularly,8,-2.2574
15,documents,14,2.0257,conversation,18,-2.2507
16,parenting,13,1.9448,physics,7,-2.2471
17,traveling,15,1.9273,curiosity,16,-2.1945
18,center,12,1.8582,exciting,6,-2.1772
19,resources,12,1.8582,opinion,6,-2.1772
20,technology,14,1.8269,enjoyed,6,-2.1772
