rank,BAY_AREA_word,BAY_AREA_z,EUROPE_UK_word,EUROPE_UK_z
1,favorite,3.6769,london,-5.2741
2,working,3.3981,fiction,-3.7369
3,research,3.2071,berlin,-3.5211
4,berkeley,3.1669,little,-3.2709
5,partners,2.9707,didn't,-3.1697
6,relationships,2.9647,there's,-2.8546
7,partnership,2.8414,ideally,-2.8055
8,support,2.7484,report,-2.7646
9,deeply,2.7443,generally,-2.7363
10,francisco,2.74,physically,-2.7356
11,together,2.7259,respect,-2.6753
12,building,2.6569,exciting,-2.6349
13,notion,2.5348,interest,-2.6207
14,primary,2.4916,recent,-2.5177
15,anonymous,2.4314,perhaps,-2.5059
16,politics,2.4227,pleasure,-2.4891
17,lifestyle,2.4155,wouldn't,-2.4891
18,current,2.3947,opinions,-2.4122
19,toward,2.3403,travelling,-2.4072
20,engineering,2.3401,favourite,-2.4048
